DM_EVENT.date_ops_start,DM_ACTIVITY.activity_code,DM_ACTIVITY.activity_memo,LOSS_CIRCULATION
09/01/2014,F1,"cont drilling 8-1/2"" hole from 3114 m to td at 3118 mmd/2609 mtvd. no losses. bhct 143.4degc. - td was set at 48 mtvd deeper as per correlation with bk-del-26. - well path at td: 1.35 m above and 2.28 m left to proposal line drilling parameters: rotate: wob 15-22 klbs, 2200 lpm, spp 3600-3750 psi, 150 rpm, 11/15 kft-lbs (off/on btm). rotate: 4 m/0.25 hrs. avg rop 16 m/hr. p/u 234 klbs, s/o 145 klbs, r/t 182 klbs. - at td, mud cooler temp in 62?c, temp out 42?c, flow line temp 82?c.",0.0
09/01/2014,FN1C,"at 2167 m, observe tight spot. attempt to pass - neg. back ream 8-1/2""bha from 2174 m to 2155 m (2155 lpm, 2875 psi, 120 rpm, 10-12 kft-lbs) - ok. stop pump to rack back stand - observe string taking weight. attempt to establish circulation - neg, string stuck. work string and finally free string by working string down with torque and slack off 100lkb - free. establish circulation - ok. total loss 10.8 m3.",10.8
09/01/2014,P4F,"circulate bottoms up prior to dhsv (1110 lpm, 2620 psi). no losses, max gas 2.1%, mw out variation 1.37 - 1.43 sg. circ until mw in/out = 1.40/1.40 sg.",0.0
09/01/2014,P4F,"m/u dhsv. install control line to dhsv. pressure test to 7500 psi. record control line return volume 7500/5000 psi = 140/110 ml. rih 3 1/2"" completion with 5000 psi in control line to 3647 m.  === 00:00 - 06:00 hrs. operation === 00:00 - 00:30 hrs. p/u and m/u tubing hanger. cut and terminate control line to hanger. connect and pressure test control line to 7500 psi and check control line return volume at 5,000 psi = 110 ml. 00:30 - 00:45 hrs. make up hanger running tool and landing string. rih and land hanger (pu/so 145/104 klbs). pressure test hanger seal to 6500 psi. expand lock ring. overpull test 10 klbs. float collar at 3676 m, float shoe at 3677 m (3041 mtvd), dhsv at 237 m. meanwhile displace bop stack with sea water and drain. 00:45 - 01:30 hrs. install circulating head and hose. circulate (660 lpm, 1220 psi) no losses. r/d circulating head. 01:30 - 02:30 hrs. close dhsv. release and l/d 3 1/2"" landing string. r/d 3 1/2"" tubing handling equipment. total run: 284 jts of 3 1/2"" tubing 9.2# 13%cr-80 jfe bear r3 + 5 pup jts + 1 dhsv. 02:30 - 04:30 hrs. pull and l/d diverter and overshot. n/d bop w/ hp riser, pull above platform and tranverse bop from well center. r/d vg drilling adaptor. 04:30 - 06:00 hrs. r/u cement bonnet. remove bpv. r/u cement head and lines. meanwhile change out saver sub to 4 1/2"" if.",0.0
09/01/2014,F1,"cont drilling 12 1/4"" directional hole (with motor/mwd) from 1782 m to 2027 mmd/1754.19 mtvd w/1.35 sg sdf. bhct 79.22?c. no losses. drilling parameter: rotate: wob 8-10 klbs, 3400 lpm, spp 3600/3850 psi (off/on btm), 80 rpm, 17/23 kft-lbs (off/on btm). slide: wob 3-6 klbs, 3400 lpm, spp 3600/3750 psi (off/on bttm). rotate: 132.4 m/3.8 hrs. avg rop 35 m/hr. slide: 112.6 m/11.89 hrs. avg rop 9.47 m/hr. - observe string hang up & motor stalling many times while sliding from 1650 m onwards p/u 217 klbs, s/o 152 klbs, rot 177 klbs. gas peak: 9.09% @ 1904.5 mmd/1641.3 mtvd, bg 1.5%. formation: -fm2d (60-80% clyst, 20-35% sst, 5-10 coal) note: - add 1 sacks of g seal hrg and 1 sacks of g seal plus every 1 hrs.          - well path: 3.75 m left & 2 m below to the proposal line.            - increase mw to 1.35 sg from 1600 m tvd          - at 2027 m, mud cooler temp in 73?c, temp out 46?c, flow line temp 60?c  ===00:00 - 06:00 operations=== 00:00 - 06:00 cont drilling 12 1/4"" directional hole (with motor/mwd) from 2027 m to 2060 mmd/1783 mtvd w/ 1.40 sg sdf.        - well path: 5.3 m left & 2.96 m above to the proposal line.          - increase mw to 1.40 sg from 1750 m tvd",0.0
09/01/2014,CN2,"circulate & kill well with driller first circulation method. bring pump up to 200 lpm, keep sicp constant at 216 psi. continue circulating out influx at 320 psi dp pressure. observe sicp drop to 6 psi. mw out varies from 1.73 - 1.78 sg. circulate untill mw in = mw out = 1.78 sg. gas reduce to 2.5%. total loss 4 m3",4.0
09/01/2014,CN2,"establish circulation prior to cement job - 450 lpm 600 psi, loss rate 11-16 m3/hr, total loss 41 m3.  observe max gas 80% on flowline. continue to circulate gas out.",41.0
09/01/2014,CN2,"open well. flow check - observe flow continuously dieing. flow reduce from 0.35 bbl/min to 0.1 bbl/min.   === 00:00-06:00 operations === 00:00 - 00:45 cont to flow check - observe flow continuously dieing. flow reduce to static. total breath back 4 m3. 00:45 - 02:00 rig pump 1.59 m3 of base oil ahead and 1.78 sg ht-mcs-gs spacer (477 lpm, 300 psi). loss 5 m3 while pumping spacer. 02:00 - 02:15 line up to cement unit, pump 0.8 m3 of sw. pressure test line to 5000 psi. 02:15 - 03:30 drop bottom plug. mix and pump 28 m3 of 1.90 sg single slurry with 477 lpm (used 9.1""hole size forcalculation). loss 6.2 m3 while pumping cement. 03:30 - 06:00 drop top plug. cement unit displace cement with 1.59 m3 of 1.78 sg sdf. rig cont to displace with 1.78 sg sdf (159 - 477 lpm) - in progress. return suddenly drop till no return after dispacing 41 m3.",5.0
09/01/2014,C1,"established circulation with 300 lpm, 475 psi .observe 4.7 m3/hr loss at 550 lpm. reduce flow rate to 475 lpm, total loss 3 m3. circulate bottom up (475 lpm, 500 psi).",3.0
09/01/2014,F1,"cont drilling 8-1/2"" directional hole (powerdrive/mwd/lwd) from 2954 m to 3114 mmd/2609 mtvd w/1.75 sg sdf. bhct 144?c. no losses. well path at midnight: 0.97 m below and 2.01 m left to the proposal line. drilling parameters: rotate: wob 15-22 klbs, 2200 lpm, spp 3600-3750 psi, 150 rpm, 11/15 kft-lbs (off/on btm). rotate: 478 m/17.43 hrs. avg rop 28 m/hr. p/u 234 klbs, s/o 145 klbs, r/t 182 klbs. • from 2945 m onwards, control rop at 10-15 m/hr due to high dropping tendency about 2 deg/10 m. difficult in sending downlink from 2945 m - repeat sending several times.  gas peak: 54.05%@2877 mmd/2424 mtvd, bg 1.5%. formation: • top fm2b@2580 mmd/2202.77 mvd (60-100% clyst, 10-40% sst, 5-10% coal)                   • top fm2a@2870 mmd/2418.39 mvd (50-90% clyst, 10-50% sst, 0-5% coal) note: • add 2 sacks of g seal hrg and 2 sacks of g seal plus every 1 hr.          • at 3114 m, mud cooler temp in 62?c, temp out 42?c, flow line temp 82?c.  ===00:00 - 06:00 operations=== 00:00 - 00:15 cont drilling 8-1/2"" hole to td at 3118 mmd/2609 mtvd. no losses. - td was set at 48 mtvd deeper as per correlation with bk-del-26 00:15 - 04:00 circ bottom up (2200 lpm, 3500 psi). geologist confirm td, formation 2a sample 90% clyst, 10% sst. perform pump off test 15 min. take td survey. pump 4/8 m3 of lo-vis/hi-den pill and circulate hole clean (2200 lpm, 3500 psi). note: - observe 10 % cutting increase at shaker when pill on surface. - pump off gas 6%. back ground 0.5%. - increase mw to 1.78 sg - avg hole size from propane lag check first/peak:8.68""/9.1"", lo-vis/hi-den pill: 8.97"" 04:00 - 06:00 flow check - hole static. pooh 8-1/2"" bha from 3118 m to 2850 m  note: - ream clear tight spot at 2920 - 2912 m (1000 lpm, 780 psi, 50 rpm)",0.0
09/01/2014,F1,"cont drilling 6-1/8"" hole from 3550 m to 3564 mmd/2953 mtvd w/ 1.40 sg sdf. no losses. bhct 175?c.  well path at midnight : 5.4 m above and 20.8 m left to proposal line. daily drilling parameters : rotate: wob 14 klbs, 1000 lpm, spp 3450/3800 psi(ug/fg), 150-200 rpm, 8/11 kft-lbs (off/on btm). rotate: 434 m/ 14.73 hrs. avg rop 29.5 m/hr. p/u 193 klbs, s/o 139 klbs, r/t 168 klbs. note:  • add 1 sack of g seal hrg + 1 sack of g seal plus every 1 hrs until 3333 m. • from 3333 m, add 2 sx of g seal hrg + 2 sx of g seal plus + 2 sx of vinseal f every 1 hr. • from 3362 m, reduce rotary speed from 200 rpm to 150 rpm to aid on downhole temp. • at 3564 m, mud cooler temp in 41?c, temp out 36?c, flow line temp 60?c.  formation: • fm2a (70-90% clyst, 10-30% sst)                 •  top of fm1 @ 3470 mmd/2880 mtvd (55-75% clyst, 25-45% sst) gas peak : 11.8% @ 3343 mmd/2783 mtvd, bg 0.5% ===00:00 - 06:00 operations=== 00:00 - 00:45 hrs. circ bottoms up to lower downhole temp for mwd tool  (1000 lpm, 3400 psi). temp reduce from 175?c to 168?c. 00:45 - 01:30 hrs. cont drilling 6-1/8"" hole from 3564 m to 3593 mmd/ 2975 mtvd w/ 1.40 sg sdf. no losses.bhct 175?c.  01:30 - 02:30 hrs. circ bottoms up to lower downhole temp for mwd tool  (1000 lpm, 3700 psi). temp reduce from 175?c to 169?c. 02:30 - 06:00 hrs. cont drilling 6-1/8"" hole from 3593 m to 3640 mmd/ 3012 mtvd w/ 1.40 sg sdf. no losses. bhct 173?c. gas peak (from 00:00-06:00 am) : nil. well path at 06:00 am : 6 m above and 26 m left to proposal line.",0.0
09/01/2014,F1,"cont drilling 6-1/8"" hole from 3130 m to 3389 mmd/2818 mtvd w/ 1.40 sg sdf. no losses. bhct 175?c",0.0
09/01/2014,F1,"cont drilling 6-1/8"" hole from 3476 m to 3550 mmd/2942 mtvd w/ 1.40 sg sdf. no losses. bhct 175?c",0.0
09/01/2014,F1,"cont drilling 6-1/8"" hole from 3436 m to 3476 mmd/2885 mtvd w/ 1.40 sg sdf. no losses. bhct 175?c",0.0
09/01/2014,F1,"cont drilling 6-1/8"" hole from 3389 m to 3436 mmd/2854 mtvd w/ 1.40 sg sdf. no losses. bhct 175?c",0.0
09/01/2014,C1,"p/u shoe track, fill at surface & check float - ok. hold pjsm. rih 7"" casing (29 ppf tpcq t95 r3) to 1000 m with slip to slip speed 90-100sec/ jt. no losses.",0.0
09/01/2014,C1,"cont rih 7"" casing from 1000 m to 2000 m with slip to slip speed 90-100sec/ jt. no losses.",0.0
09/01/2014,C1A,"hold pjsm. r/u fill up tool, wft 500 tons elevators and long bails.   ===00:00 - 06:00 operations=== 00:00 - 00:30 cont r/u fill up tool.  00:30 - 02:00 established circulation with 300lpm-475psi .observe 4.7 m3/hr loss at 550 lpm. reduce flow rate to 475 lpm, total loss 3 m3. circulate bottom up (475 lpm, 500 psi).  02:00 - 06:00 cont rih 7” casing from 2000 m to 2620 m, with slip to slip speed 105-110sec/ jt.",3.0
09/01/2014,C1,"m/up swage & tds. established circulation with 300 lpm-250 psi and stage up to 800 lpm, 400 psi. no losses.",0.0
09/01/2014,G5,"l/d srft. drain sample. bhst from head thermometer = 182.2?c@3091 mmd/2547 mtvd, 25 hrs 20 mins after eoc. monitor well, no gain/loss. - s1/1 (upper chamber: 2882 mtmd/ 2386.6 mtvd-msl), gas 30.15 cuft., surface pressure 2000 psi, co2. 31.85 % (gss sensor), h2s 27 ppm (almansoori), h2s 5 ppm (gss), mud filtrate 3.5 lt. - s1/2 (lower chamber: 2986.8 mtmd/ 2467.1 mtvd-msl), gas 38.70 cuft., surface pressure 2000 psi, co2. 32.99 % (gss sensor), h2s 48 ppm (almansoori), h2s 5 ppm (gss), mud filtrate 5 lt.",0.0
09/01/2014,F1,"drill 12 1/4"" directional hole (with motor/mwd) from 514 m to 1101 mmd/981.4 mtvd w/ 1.30 sg sdf. bhct 71?c. no losses. drilling parameter: rotate: wob 5-10 klbs, 3400 lpm, spp 2450/2700 psi (off/on btm), 80 rpm, 10/12 kft-lbs (off/on btm). slide: wob 5-8 klbs, 3400 lpm, spp 2450/2650 psi (off/on bttm). rotate: 496 m/6.09 hrs. avg rop 81.4 m/hr. slide: 94 m/1.55 hrs. avg rop 60.65 m/hr. p/u 145 klbs, s/o 126 klbs, rot 135 klbs. gas peak: 4.26 % @ 1065 mmd/952.3 mtvd, bg 0.8%. formation: top fm3@1060 mmd/800 mtvd (80-95% clyst, 5-20% sst). note: - add 1 sacks of g seal hrg and 1 sacks of g seal plus every 1 hrs.          - well path: 0.8 left & 0.4 below to the proposal line.    === 00:00 - 06:00 operations ===  00:00 - 06:00 cont to drill 12 1/4"" directional hole (with motor/mwd) from 1101 m to 1380 mmd/1200 mtvd.   - well path: 0.5 left & 2.8 below to the proposal line.",0.0
09/01/2014,F1,"cont drilling 12 1/4"" directional hole (with motor/mwd) from 1101 m to 1782 mmd/1528.35 mtvd w/ 1.30 sg sdf. bhct 91?c. no losses. drilling parameter: rotate: wob 12-16 klbs, 3400 lpm, spp 3200/3550 psi (off/on btm), 80 rpm, 17/22 kft-lbs (off/on btm). slide: wob 3-5 klbs, 3400 lpm, spp 3200/3350 psi (off/on bttm). rotate: 591 m/11.51 hrs. avg rop 51.35 m/hr. slide: 90 m/9.22 hrs. avg rop 9.77 m/hr. - observe string hang up & motor stalling many times while sliding from 1650 m onwards p/u 192 klbs, s/o 146 klbs, rot 166 klbs. gas peak: 38.64 % @ 1384 mmd/1204.3 mtvd, bg 1.5%. formation: -top fm2e@1340 mmd/1169.43 mtvd (60-100% clyst, 0-40% sst, 5-10 coal).                  -top fm2d@1700 mmd/1457.53 mtvd (80-85% clyst, 15-20% sst, 5 coal) note: - add 1 sacks of g seal hrg and 1 sacks of g seal plus every 1 hrs.          - well path: 2.33 m left & 3.46 m above to the proposal line.    ===00:00 - 06:00 operations=== 00:00 - 06:00 cont drilling 12 1/4"" directional hole (with motor/mwd) from 1782 m to 1855 mmd/1600 mtvd.        - well path: 1.65 m left & 0.67 m above to the proposal line.",0.0
09/01/2014,C1,"p/u shoe track (eccentric shoe), fill at surface & check float - ok. hold pjsm. rih 9 5/8"" casing to 500 m. - observe loss while rih to 400 m, 1.59 m3. no static loss.",0.0
09/01/2014,C1,"circulate @ 300-400 lpm, 325-400psi with no return. land hanger (140 klbs string wt) while flush clean well head thru annulus valve. float collar @ 2090.8 mmd/1811.93 mtvd, float shoe @ 2116.69 mmd/1835.44 mtvd. total run : 173 jts of 9-5/8"" casing, 47#, fox, p 110, r3 + 1 float shoe assy. (ecc) + 2 intermediate jt. + 1 float collar assy (nr).-total loss 23 m3 while circulating.",23.0
09/01/2014,C1A,"r/u cement head and surface line. circ prior to cement job (200-500 lpm, 180-240 psi) - no return. total loss 28.5 m3 while circulating. ===00:00 - 06:00 operations=== 00:00 - 01:00 rig pump 1.6 m3 base oil. rig pump 25.0 m3 spacer (400 lpm, 250 psi) and fill surface line  - no return. 01:00 - 01:15 flow check - static. line up to cement unit, pump 0.8 m3 of sw. pressure test line to 5000 psi. 01:15 - 04:15 drop bottom plug. mix and pump 80 m3 of 1.50 sg lead slurry & 9.5 m3 with 550 lpm (used 13.88"" hole size for calculation). no return. total losses 89.5 m3. 04:15 - 06:00 drop top plug. cement unit displace cement with 1.59 m3 of 1.4 sg sdf. rig cont to displace with 77.8 m3 of 1.4 sg sdf (200 - 500 lpm) - in progress with no return.",28.5
09/01/2014,C1,"cont rih 9 5/8"" casing with controlled speed from 500 m to 2085 m, speed 10 jt/hr. - break circulation at 950 m, 1450 m and 2074m @300 lpm - 400 lpm. no return. - total loss 81.5 m3 of sdf while rih in open hole section. - p/u weight 325 klbs, s/o weight 215 klbs.",81.5
09/01/2014,C2,"drop bottom plug. mix and pump 80 m3 of 1.50 sg lead slurry & 9.5 m3 with 550 lpm (used 13.88"" hole size for calculation). no return. total losses 89.5 m3.",0.0
09/01/2014,C2,"drop top plug. cement unit displace cement with 1.59 m3 of 1.4 sg sdf. rig cont to displace with 77.8 m3 of 1.4 sg sdf ( 500-200 lpm). cement unit  displace with 1.59 m3 mud. bump plug with final pressure 279 psi (calc dif press 366 psi). cip@07:15 hrs. pressure test casing to 4000 psi/10 mins_ok. bleed off pressure - float holding. note: • observe bottom plug shear when pump cement 79.98 m3.          • total losses during displacement 81 m3 .est toc by differentail pressure at 683 m (plan toc@309 m, 13-3/8"" shoe@508.6 m).",0.0
09/01/2014,F1,"cont drilling 12-1/4"" hole from 2027 m to 2106 mmd/1826 mvd. no losses.",0.0
09/01/2014,C3,"retrieve wearbushing. m/u jetting tool while function bop. wash bop and well head profile (1000 lpm, 450 psi, 10 rpm).  === 00:00 - 06:00 operations === 00:00 - 00:45 cont washing bop & wellhead. 00:45 - 01:00 r/u 9 5/8"" handling equipment. 01:00 - 05:00 p/u shoe track (eccentric shoe), fill at surface & check float - ok. hold pjsm. rih 9 5/8"" casing to 500 m. - observe loss while rih to 400 m, 1.59 m3. no static loss. 05:00 - 06:00 hold pjsm. r/d bx-elevator. r/u fill up tool, 500 ton elevators and long bails.",0.0
09/01/2014,F1,"cont drilling 12 1/4"" directional hole (with motor/mwd) from 2106 m to section td at 2120 mmd/1838.33 mtvd w/1.40 sg sdf. bhct 83?c. no losses. drilling parameter: rotate: wob 8-10 klbs, 3400 lpm, spp 3650/3900 psi (off/on btm), 80 rpm, 17/24 kft-lbs (off/on btm). slide: wob 3-6 klbs, 3400 lpm, spp 3650/3800 psi (off/on bttm). rotate: 59 m/2.8 hrs. avg rop 21.07 m/hr. slide: 34 m/6.13 hrs. avg rop 5.55 m/hr. - observe string hang up & motor stalling many times while sliding from 1650 m onwards p/u 233 klbs, s/o 152 klbs, rot 181 klbs. no gas peak, bg 1.5%. formation: - top fm2c@2100 mmd/1820.27 mvd (90% clyst, 10% sst) note: - add 1 sacks of g seal hrg and 1 sacks of g seal plus every 1 hrs.          - well path: 12.7 m left & 5.93 m below to the proposal line.            - increase mw to 1.40 sg from 1750 m tvd          - at 2120 m, mud cooler temp in 53?c, temp out 46?c, flow line temp 71?c          - avg hole size from carbide 12.79 at first, 13.88"" at peak.",0.0
09/01/2014,F1,"drill 8-1/2"" directional hole (powerdrive/mwd/lwd) from 2123 m to 2636 mmd/2244 mtvd w/ 1.45-1.75 sg sdf. bhct 107?c. no losses. well path at midnight: 16.13 m below and 11.69 m left to the proposal line. drilling parameters: rotate: wob 15-20 klbs, 2200 lpm, spp 3600-3750 psi, 150 rpm, 11/15 kft-lbs (off/on btm). rotate: 516 m/11.51 hrs. avg rop 44.83 m/hr.  p/u 205 klbs, s/o 135 klbs, r/t 168 klbs. gas peak: 33%@2466 mmd/2074 mtvd, bg 1.0%. formation: • fm2c (90% clyst, 10% sst) note: • add 2 sacks of g seal hrg and 2 sacks of g seal plus every 1 hr. • increase mw to 1.50 sg from 1850 mtvd, increase mw to 1.60 sg from 1910 mtvd • increase mw to 1.70 sg from 2000 mtvd, increase mw to 1.75 sg from 2100 mtvd • at 2636 m, mud cooler temp in 60?c, temp out 39?c, flow line temp 77?c ===00:00 - 06:00 operations=== 00:00 - 06:00 cont to drill 8-1/2"" hole from 2636 m to 2880 mmd/2427 mtvd w/1.75 sg sdf. no losses. well path: 2.1 m below and 2.58 m left to the proposal line.",0.0
09/01/2014,F1,"cont drilling 6-1/8"" hole from 3564 m to 3593 mmd/ 2975 mtvd w/ 1.40 sg sdf. no losses. bhct 175?c.",0.0
09/01/2014,F3,"circ bottoms up and cool down bhct to 165?c with 1000 lpm, 3400-3850 psi. geologist confirm td ( fm1, sample 80% clyst, 20 % sst). perform pump off test 10 mins. pump 4m3/8m3 lovis/hi den pills and circ pills out/hole clean. hole size from pills = 6.98"". no pump off gas. no losses.",0.0
09/01/2014,F3,"circ bottom up at 7” shoe with 1000 lpm, 3120 psi. no gas, no losses.",0.0
09/01/2014,F1,"cont drilling 6-1/8"" hole from 3593 m to 3647 mmd/ 3018 mtvd w/ 1.40 sg sdf. no losses. bhct 175?c.",0.0
09/01/2014,F1,"cont drilling 6-1/8"" hole from 3668 m to td at 3684 mmd/ 3046.5 mtvd w/ 1.40 sg sdf. no losses. bhct 175?c. well path at td : 6.0 m above and 28.5 m left to proposal line. daily drilling parameters : rotate: wob 14-16 klbs, 1000 lpm, spp 3400/3850 psi(ug/fg), 100-150 rpm, 8/13 kft-lbs (off/on btm). rotate: 120 m/ 7.85 hrs. avg rop 15.29 m/hr. p/u 203 klbs, s/o 149 klbs, r/t 171 klbs. note:  • add 2 sx of g seal hrg + 2 sx of g seal plus + 2 sx of vinseal f every 1 hr until 3675 m. • from 3668 m, reduce rotary speed from 150 rpm to 100 rpm to aid on downhole temp. • at td, mud cooler temp in 42?c, temp out 36?c, flow line temp 67?c. • formation: fm1(60-90% clyst, 10-40% sst) • gas peak : nil %. bg 0.5% • avg hole size from propane 5.27"" at first and 6.0"" at peak. • correlation: based on top of fm1, bk-s9-f is 100 mtvd deeper than bk-del-27",0.0
09/01/2014,F1,"cont drilling 6-1/8"" hole from 3647 m to 3668 mmd/ 3034 mtvd w/ 1.40 sg sdf. no losses. bhct 175?c.",0.0
09/01/2014,C3,"hold pjsm. prepare and install cement adaptor spool. retrieve bpv and in stall cement head. ===rig release from at-24-q to at-24-e at 07:45 hrs on 18 february 2014===    ===total day on well 13.44 days/13.16 days afe.      =====offline operation on at-24-q ======    09:00 - 09:30 retrieve bpv. r/u cement head & lines 09:30 - 10:30 hrs circulate bottom up (650 lpm, 2200 psi) no losses. max gas 0.40%.  10:30 - 11:15 hrs rig pump 215 bbls of 1.70 sg mudpush wht spacer. flush line, ok.  11:15 - 12:30 hrs p/t line 6500 psi. pump 240.9  bbls of 1.90 sg cmt. (6.27"" hole size, no excess) 12:30 - 12:45 hrs cement unit flush line with sea water until clean sea water appear.  12:45 - 14:00 hrs drop wiper plug. displace cement with 5 bbl brine + 74.4 bbls base oil + 5 bbls brine until bump plug@ 5800 psi/10 min. cip 13:30 hrs. bleed pressure, no backflow.   note: - 40 bbls of contaminated spacer and 32 bbl of pure spacer on surface.                    - estimate toc from vol.calulation @ 1883 m. planned toc 2009 m.                    - cycle dhsv 10 times after cement wiper plug pass dhsv.",0.0
09/01/2014,C2,"drop top plug. cement unit pump 20 bbls of 1.12 sg wbm. switch to rig pump and continue displace with 525.6 bbl of 1.12 sg wbm, 7 bpm. bump plug to 4000 psi/10 min. cip 09:30 hrs. loss 10 bbls during cement job. estimate toc 732 m from volumetric calculation.",1.5898729999999999
10/01/2014,C2,"drop top plug. cement unit pump 20 bbls of 1.12 sg wbm. switch to rig pump and continue displace with 525.6 bbl of 1.12 sg wbm, 7 bpm. bump plug to 4000 psi/10 min. cip 04:55 hrs. loss 20 bbls during cement job. estimate toc 753 m from volumetric calculation.",3.1797459999999997
10/01/2014,C2,"circulate and condition mud prior to cement job (200-250 lpm, 450-550 psi). total loss while circulating 180 bbls",0.0
10/01/2014,C2,"drop bottom plug. cement unit mix and pump 116 bbls of 1.68 sg lead slurry and 46.1 bbls of 1.80 sg tail slurry at 4 bpm. use 9.06"" hole size for cement calculation without excess. loss 71 bbls while pumping cement.",11.2880983
10/01/2014,C2,"drop top plug. cement unit displace with 20 bbls of 1.43 sg sdf. switch to rig pump and displace with 375.5 bbls of 1.43 sg sbm. bump plug and pressure test casing to 4000 psi/ 5 min. bleed off pressure, float holding. cip 05:50 hrs. note: - total loss during displace cement: 250 bbls (loss 113 bbls after cement exit shoe)          - expect toc from volumetric calculation 2770 m (9-5/8"" shoe at 2272 m)          - change saver sub from 4-1/2"" if to xt39 while cementing.          - change out casing bails with drilling bails",17.9655649
